operation,operand1,operand2,result,timestamp
int_divide,1,1,1,2025-06-30T00:27:36.538729
int_divide,10,2,5,2025-06-30T00:29:06.741590
percent,50,5,1000,2025-06-30T00:29:23.824103
int_divide,1,1,1,2025-06-30T00:37:12.595610
int_divide,1,1,1,2025-06-30T00:38:50.502481
int_divide,1,1,1,2025-06-30T00:44:01.353884
int_divide,1,1,1,2025-06-30T00:47:43.782455
int_divide,1,1,1,2025-06-30T00:48:49.200623
int_divide,1,1,1,2025-06-30T00:51:38.837096
int_divide,1,1,1,2025-06-30T00:58:15.787765
percent,500,10,5000,2025-06-30T01:00:56.334106
percent,4000,40,10000,2025-06-30T02:30:24.718262
percent,10,1000,1.00,2025-06-30T02:30:51.716625
add,2,2,4,2025-06-30T02:39:33.631144
add,1,1,2,2025-06-30T02:42:34.257657
subtract,4,2,2,2025-06-30T02:43:14.588568
percent,1E+2,5,2.00E+3,2025-06-30T02:43:37.083350
